region,packages_total_2018,packages_total_russian_2018,packages_total_foreign_2018,packages_total_foreign_citizens_2018,packages_total_2019,packages_total_russian_2019,packages_total_foreign_2019,packages_total_foreign_citizens_2019,packages_total_2020,packages_total_russian_2020,packages_total_foreign_2020,packages_total_foreign_citizens_2020,packages_total_2021,packages_total_russian_2021,packages_total_foreign_2021,packages_total_foreign_citizens_2021,packages_total_2022,packages_total_russian_2022,packages_total_foreign_2022,packages_total_foreign_citizens_2022,packages_total_2023,packages_total_russian_2023,packages_total_foreign_2023,packages_total_foreign_citizens_2023
Смоленская область,8597,3436,4943,218,9561,3325,6233,3,3250,1869,1379,2,5198,2352,2846,,6036,2805,3231,,10171,5403,4760,8
Тамбовская область,4937,1319,3618,,5872,1525,4347,,1663,767,896,,3050,1403,1647,,3546,2002,1544,,4866,2470,2395,1
Тверская область,42819,29460,13349,10,38849,23873,14976,,16532,12933,3599,,21581,15322,6259,,20390,13366,7024,,27218,15603,11614,1
Тульская область,17012,7066,9883,63,22077,9707,12370,,11789,8014,3775,,24194,14699,9495,,25743,17383,8359,1,28933,16543,12389,1
Ярославская область,45116,21535,23501,80,60444,34236,25869,339,26622,20933,5670,19,25211,16581,8623,7,41145,30662,10481,2,30933,19159,11772,2
г.Москва,1141105,232453,860686,47966,1795809,631769,1114282,49758,1670985,1103909,563993,3083,2261448,1202624,1056771,2053,2419418,1077364,1337117,4937,3095421,1293304,1790081,12036
Республика Карелия,37138,26018,10003,1117,36348,25343,9915,1090,20854,18483,2269,102,31124,26170,4904,50,30356,25072,5237,47,36590,29292,7028,270
Республика Коми,18465,3296,15167,2,20316,3685,16630,1,7264,3787,3476,1,11527,4516,7011,,10527,4328,6199,,13888,6270,7618,
Архангельская область,40073,17490,22555,28,45275,19174,26079,22,12941,6748,6193,,28297,16249,12048,,32505,19805,12697,3,36170,22008,14161,1
Вологодская область,31355,20541,10798,16,33171,21706,11465,,11871,9275,2596,,22187,15281,6906,,26322,19129,7193,,27187,18847,8340,
Калининградская область,51653,16170,33504,1979,49389,18921,29119,1349,25064,18764,6300,,41315,29015,12298,2,39737,23511,16226,,48111,28415,19634,62
Ленинградская область,22829,12014,10811,4,22380,10649,11727,4,9625,6515,3110,,16898,8556,8341,1,17061,9710,7344,7,23857,11524,12313,20
Мурманская область,16721,3509,11010,2202,15745,3106,11429,1210,9101,2867,4536,1698,12605,6349,6072,184,14137,8099,5974,64,15732,7198,8483,51
Новгородская область,9953,3416,5339,1198,10208,3140,5712,1356,3467,2098,1341,28,5646,3372,2274,,5362,3502,1860,,7553,4676,2877,
Псковская область,10481,2995,7439,47,11401,3482,7861,58,5942,3674,2232,36,12316,9338,2978,,7356,4618,2723,15,9509,5454,4026,29
г.Санкт-Петербург,518939,233394,129446,156099,599669,272594,210839,116236,196458,151813,37822,6823,391662,273122,112123,6417,413982,303620,107417,2945,391078,293154,88802,9122
Республика Адыгея,4333,2873,1460,,3018,1766,1249,3,1246,770,476,,2340,1198,1142,,2808,2010,798,,3973,3121,852,
